#{"t_start": 1677753903.002829, "env_id": null}
r,l,t
2.0,2,1.606055
2.0,2,1.611085
1.0,1,1.612113
4.0,4,1.625684
2.0,2,1.6291
1.0,1,1.630163
5.0,5,1.642221
3.0,3,1.649654
1.0,1,1.650765
2.0,2,1.654017
2.0,2,1.659168
1.0,1,1.660242
1.0,1,1.661288
4.0,4,1.673864
2.0,2,1.677073
1.0,1,1.680103
2.0,2,1.683317
1.0,1,1.684358
1.0,1,1.685408
3.0,3,1.692668
1.0,1,1.693685
1.0,1,1.694799
1.0,1,1.697829
1.0,1,1.698911
2.0,2,1.702104
1.0,1,1.703118
1.0,1,1.706009
4.0,4,1.713359
2.0,2,1.718655
2.0,2,1.72185
1.0,1,1.722851
1.0,1,1.725764
2.0,2,1.730785
4.0,4,1.740828
3.0,3,1.746161
3.0,3,1.754326
1.0,1,1.755471
1.0,1,1.756504
3.0,3,1.763842
1.0,1,1.764894
1.0,1,1.765929
1.0,1,1.768884
1.0,1,1.769933
3.0,3,1.775362
4.0,4,1.784666
1.0,1,1.785681
1.0,1,1.788704
1.0,1,1.789752
1.0,1,1.790803
1.0,1,1.791849
1.0,1,1.792877
2.0,2,1.798228
2.0,2,1.80135
2.0,2,1.806408
2.0,2,1.809642
2.0,2,1.812839
1.0,1,1.815766
2.0,2,1.818897
1.0,1,1.819949
1.0,1,1.820994
3.0,3,1.828227
1.0,1,1.829241
1.0,1,1.830275
1.0,1,1.834848
2.0,2,1.838452
4.0,4,1.8485
2.0,2,1.851688
1.0,1,1.852752
2.0,2,1.859534
4.0,4,1.869311
1.0,1,1.870557
2.0,2,1.873875
1.0,1,1.874917
1.0,1,1.877955
1.0,1,1.879045
1.0,1,1.880114
4.0,4,1.8897
2.0,2,1.892947
1.0,1,1.893966
1.0,1,1.897172
1.0,1,1.898227
3.0,3,1.903656
1.0,1,1.906671
2.0,2,1.909868
1.0,1,1.910888
1.0,1,1.911956
2.0,2,1.917086
1.0,1,1.918104
3.0,3,1.925393
1.0,1,1.926454
1.0,1,1.927501
1.0,1,1.928705
2.0,2,1.933922
4.0,4,1.94356
2.0,2,1.950021
1.0,1,1.951139
1.0,1,1.952235
1.0,1,1.953304
1.0,1,1.956673
1.0,1,1.957821
2.0,2,1.961242
1.0,1,1.962357
2.0,2,1.967993
5.0,5,1.980134
2.0,2,1.983286
1.0,1,1.984353
1.0,1,1.99055
3.0,3,1.99623
1.0,1,1.99726
1.0,1,2.000487
1.0,1,2.001608
1.0,1,2.002714
2.0,2,2.006116
1.0,1,2.009865
1.0,1,2.011145
4.0,4,2.021661
1.0,1,2.022746
2.0,2,2.026223
1.0,1,2.027322
2.0,2,2.032761
1.0,1,2.033929
1.0,1,2.035008
1.0,1,2.036109
4.0,4,2.046107
2.0,2,2.053745
1.0,1,2.05484
3.0,3,2.060952
1.0,1,2.064602
2.0,2,2.068291
2.0,2,2.071655
1.0,1,2.075013
1.0,1,2.076134
2.0,2,2.079477
1.0,1,2.080533
3.0,3,2.089105
2.0,2,2.092666
3.0,3,2.101158
2.0,2,2.104302
1.0,1,2.107891
2.0,2,2.111897
1.0,1,2.113066
1.0,1,2.114134
2.0,2,2.120187
4.0,4,2.130283
1.0,1,2.131432
3.0,3,2.137245
3.0,3,2.145402
3.0,3,2.15313
1.0,1,2.154205
2.0,2,2.159732
1.0,1,2.160851
5.0,5,2.223953
2.0,2,2.230499
1.0,1,2.231767
2.0,2,2.234919
2.0,2,2.240969
1.0,1,2.242027
1.0,1,2.243033
1.0,1,2.244074
2.0,2,2.249272
1.0,1,2.250321
2.0,2,2.253516
1.0,1,2.256614
3.0,3,2.26189
3.0,3,2.271379
1.0,1,2.27241
1.0,1,2.273434
1.0,1,2.274533
2.0,2,2.280002
2.0,2,2.28336
5.0,5,2.295737
7.0,7,2.313513
1.0,1,2.314545
1.0,1,2.315564
1.0,1,2.31656
1.0,1,2.317565
1.0,1,2.320439
2.0,2,2.323559
2.0,2,2.326733
2.0,2,2.334452
2.0,2,2.337759
1.0,1,2.341286
2.0,2,2.357937
2.0,2,2.361308
3.0,3,2.369174
2.0,2,2.374046
2.0,2,2.380137
1.0,1,2.381248
2.0,2,2.384674
3.0,3,2.39254
1.0,1,2.393591
1.0,1,2.394674
2.0,2,2.401228
4.0,4,2.408668
1.0,1,2.411883
1.0,1,2.412958
2.0,2,2.416196
1.0,1,2.417228
2.0,2,2.422398
1.0,1,2.423448
1.0,1,2.424496
2.0,2,2.429605
1.0,1,2.430637
1.0,1,2.431674
2.0,2,2.434846
1.0,1,2.438931
1.0,1,2.439985
2.0,2,2.443293
2.0,2,2.449182
3.0,3,2.454658
2.0,2,2.460007
1.0,1,2.461067
2.0,2,2.464284
1.0,1,2.465316
1.0,1,2.468703
1.0,1,2.469878
1.0,1,2.471082
1.0,1,2.472164
1.0,1,2.473204
1.0,1,2.478117
1.0,1,2.47918
2.0,2,2.48272
1.0,1,2.484165
2.0,2,2.489726
2.0,2,2.493199
1.0,1,2.494247
1.0,1,2.49743
1.0,1,2.498528
3.0,3,2.504083
1.0,1,2.507331
2.0,2,2.510904
4.0,4,2.520722
1.0,1,2.521797
3.0,3,2.529515
2.0,2,2.532823
1.0,1,2.533958
1.0,1,2.53499
1.0,1,2.538211
1.0,1,2.539243
1.0,1,2.540258
3.0,3,2.547964
1.0,1,2.549052
1.0,1,2.550113
1.0,1,2.55121
3.0,3,2.559334
2.0,2,2.562537
1.0,1,2.563621
2.0,2,2.569076
1.0,1,2.570213
2.0,2,2.573542
1.0,1,2.577026
1.0,1,2.578198
1.0,1,2.579265
3.0,3,2.588912
2.0,2,2.592539
1.0,1,2.593656
1.0,1,2.5947
1.0,1,2.598373
2.0,2,2.601838
1.0,1,2.603405
3.0,3,2.61177
4.0,4,2.622076
1.0,1,2.623239
1.0,1,2.624353
2.0,2,2.628273
1.0,1,2.631713
1.0,1,2.632755
1.0,1,2.633764
1.0,1,2.634798
1.0,1,2.635807
1.0,1,2.640909
1.0,1,2.642208
1.0,1,2.643493
1.0,1,2.644552
1.0,1,2.64561
1.0,1,2.64891
2.0,2,2.706213
2.0,2,2.709778
2.0,2,2.715491
1.0,1,2.7166
1.0,1,2.71774
5.0,5,2.729528
1.0,1,2.730576
5.0,5,2.742569
2.0,2,2.747861
3.0,3,2.753151
2.0,2,2.758372
1.0,1,2.759383
1.0,1,2.760405
1.0,1,2.761455
3.0,3,2.76877
1.0,1,2.769864
1.0,1,2.771035
2.0,2,2.776579
1.0,1,2.777654
1.0,1,2.778736
1.0,1,2.779785
5.0,5,2.791235
1.0,1,2.794209
2.0,2,2.79743
1.0,1,2.798491
1.0,1,2.799752
2.0,2,2.805032
2.0,2,2.810068
1.0,1,2.81109
2.0,2,2.816827
3.0,3,2.822222
2.0,2,2.827463
1.0,1,2.828461
2.0,2,2.831605
2.0,2,2.837145
5.0,5,2.848693
1.0,1,2.849727
1.0,1,2.850748
1.0,1,2.851747
1.0,1,2.854678
1.0,1,2.855682
1.0,1,2.85683
2.0,2,2.860001
4.0,4,2.869451
2.0,2,2.874539
1.0,1,2.875593
3.0,3,2.881114
1.0,1,2.886005
2.0,2,2.889243
5.0,5,2.900563
1.0,1,2.90159
1.0,1,2.902607
