{'alpha': 10.082577683031559, 'proportion_of_honest': 1.0000000000000007, 'rounds': 72, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 10.80959091335535, 'proportion_of_honest': 1.0000000000000007, 'rounds': 73, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.174311466515064, 'proportion_of_honest': 1.0000000000000007, 'rounds': 74, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 10.878191120922565, 'proportion_of_honest': 1.0000000000000007, 'rounds': 75, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.488678343594074, 'proportion_of_honest': 1.0000000000000007, 'rounds': 76, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.881645508110523, 'proportion_of_honest': 1.0000000000000007, 'rounds': 77, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 12.048076532781124, 'proportion_of_honest': 1.0000000000000007, 'rounds': 78, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.865133859217167, 'proportion_of_honest': 1.0000000000000007, 'rounds': 79, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 12.865133859217167, 'proportion_of_honest': 1.0000000000000007, 'rounds': 80, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 12.833890326321125, 'proportion_of_honest': 1.0000000000000007, 'rounds': 81, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 11.833890326321125, 'proportion_of_honest': 1.0000000000000007, 'rounds': 82, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 12.634671457111835, 'proportion_of_honest': 1.0000000000000007, 'rounds': 83, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 12.693632639944553, 'proportion_of_honest': 1.0000000000000007, 'rounds': 84, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 13.068306662142277, 'proportion_of_honest': 1.0000000000000007, 'rounds': 85, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 14.068306662142277, 'proportion_of_honest': 1.0000000000000007, 'rounds': 86, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 13.74345663934946, 'proportion_of_honest': 1.0000000000000007, 'rounds': 87, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 14.517853118479252, 'proportion_of_honest': 1.0000000000000007, 'rounds': 88, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 15.517853118479252, 'proportion_of_honest': 1.0000000000000007, 'rounds': 89, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 16.48690513521433, 'proportion_of_honest': 1.0000000000000007, 'rounds': 90, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 17.438319839537144, 'proportion_of_honest': 1.0000000000000007, 'rounds': 91, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.438319839537144, 'proportion_of_honest': 1.0000000000000007, 'rounds': 92, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.41281957179308, 'proportion_of_honest': 1.0000000000000007, 'rounds': 93, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 17.899472422897816, 'proportion_of_honest': 1.0000000000000007, 'rounds': 94, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.858263321220875, 'proportion_of_honest': 1.0000000000000007, 'rounds': 95, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 17.858263321220875, 'proportion_of_honest': 1.0000000000000007, 'rounds': 96, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.287700034677982, 'proportion_of_honest': 1.0000000000000007, 'rounds': 97, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 19.287700034677982, 'proportion_of_honest': 1.0000000000000007, 'rounds': 98, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 19.86029026657343, 'proportion_of_honest': 1.0000000000000007, 'rounds': 99, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 20.067114122211933, 'proportion_of_honest': 1.0000000000000007, 'rounds': 100, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 20.146783851087093, 'proportion_of_honest': 1.0000000000000007, 'rounds': 101, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 19.146783851087093, 'proportion_of_honest': 1.0000000000000007, 'rounds': 102, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 19.436984233558178, 'proportion_of_honest': 1.0000000000000007, 'rounds': 103, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.458570174872875, 'proportion_of_honest': 1.0000000000000007, 'rounds': 104, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 18.522534660995007, 'proportion_of_honest': 1.0000000000000007, 'rounds': 105, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 19.522534660995007, 'proportion_of_honest': 1.0000000000000007, 'rounds': 106, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 20.483071856200695, 'proportion_of_honest': 1.0000000000000007, 'rounds': 107, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 21.483071856200695, 'proportion_of_honest': 1.0000000000000007, 'rounds': 108, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 22.483071856200695, 'proportion_of_honest': 1.0000000000000007, 'rounds': 109, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 23.483071856200695, 'proportion_of_honest': 1.0000000000000007, 'rounds': 110, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 23.94513624161482, 'proportion_of_honest': 1.0000000000000007, 'rounds': 111, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 24.32438015192747, 'proportion_of_honest': 1.0000000000000007, 'rounds': 112, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.32438015192747, 'proportion_of_honest': 1.0000000000000007, 'rounds': 113, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.462575994431973, 'proportion_of_honest': 1.0000000000000007, 'rounds': 114, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.537193305790424, 'proportion_of_honest': 1.0000000000000007, 'rounds': 115, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.41997552663088, 'proportion_of_honest': 1.0000000000000007, 'rounds': 116, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.532492764294147, 'proportion_of_honest': 1.0000000000000007, 'rounds': 117, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 24.967085130512714, 'proportion_of_honest': 1.0000000000000007, 'rounds': 118, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 24.97632572799921, 'proportion_of_honest': 1.0000000000000007, 'rounds': 119, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.596379555761814, 'proportion_of_honest': 1.0000000000000007, 'rounds': 120, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 25.491452135145664, 'proportion_of_honest': 1.0000000000000007, 'rounds': 121, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.491452135145664, 'proportion_of_honest': 1.0000000000000007, 'rounds': 122, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.444150127470493, 'proportion_of_honest': 1.0000000000000007, 'rounds': 123, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 27.11415532976389, 'proportion_of_honest': 1.0000000000000007, 'rounds': 124, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 28.11415532976389, 'proportion_of_honest': 1.0000000000000007, 'rounds': 125, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 27.14517942816019, 'proportion_of_honest': 1.0000000000000007, 'rounds': 126, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.14517942816019, 'proportion_of_honest': 1.0000000000000007, 'rounds': 127, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.387525819242, 'proportion_of_honest': 1.0000000000000007, 'rounds': 128, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 26.792923472821712, 'proportion_of_honest': 1.0000000000000007, 'rounds': 129, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 27.792923472821712, 'proportion_of_honest': 1.0000000000000007, 'rounds': 130, 'initial_honest_proportion': 0.49000000000000027}
{'alpha': 2.0, 'proportion_of_honest': 0.46000000000000024, 'rounds': 1, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.0, 'proportion_of_honest': 0.5000000000000002, 'rounds': 2, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.090242087841034, 'proportion_of_honest': 0.45000000000000023, 'rounds': 3, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 1.2087953686714172, 'proportion_of_honest': 0.4300000000000002, 'rounds': 4, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 1.6883824467658997, 'proportion_of_honest': 0.4300000000000002, 'rounds': 5, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.1891297698020935, 'proportion_of_honest': 0.4100000000000002, 'rounds': 6, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 1.6774057745933533, 'proportion_of_honest': 0.45000000000000023, 'rounds': 7, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.3465638160705566, 'proportion_of_honest': 0.46000000000000024, 'rounds': 8, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 1.3915845155715942, 'proportion_of_honest': 0.48000000000000026, 'rounds': 9, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.3915845155715942, 'proportion_of_honest': 0.49000000000000027, 'rounds': 10, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.178591012954712, 'proportion_of_honest': 0.46000000000000024, 'rounds': 11, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.0090363025665283, 'proportion_of_honest': 0.5400000000000003, 'rounds': 12, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.836105704307556, 'proportion_of_honest': 0.6100000000000003, 'rounds': 13, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.736863911151886, 'proportion_of_honest': 0.5800000000000003, 'rounds': 14, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.01373627781868, 'proportion_of_honest': 0.6300000000000003, 'rounds': 15, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.01373627781868, 'proportion_of_honest': 0.6200000000000003, 'rounds': 16, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.01373627781868, 'proportion_of_honest': 0.5600000000000003, 'rounds': 17, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.873307019472122, 'proportion_of_honest': 0.5700000000000003, 'rounds': 18, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.873307019472122, 'proportion_of_honest': 0.5400000000000003, 'rounds': 19, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 7.36068257689476, 'proportion_of_honest': 0.5200000000000002, 'rounds': 20, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.68435737490654, 'proportion_of_honest': 0.5400000000000003, 'rounds': 21, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.8578759133815765, 'proportion_of_honest': 0.5800000000000003, 'rounds': 22, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 7.292496532201767, 'proportion_of_honest': 0.6200000000000003, 'rounds': 23, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 8.292496532201767, 'proportion_of_honest': 0.6200000000000003, 'rounds': 24, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 7.860535621643066, 'proportion_of_honest': 0.6000000000000003, 'rounds': 25, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.860535621643066, 'proportion_of_honest': 0.6000000000000003, 'rounds': 26, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.573378324508667, 'proportion_of_honest': 0.5700000000000003, 'rounds': 27, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.776927649974823, 'proportion_of_honest': 0.5700000000000003, 'rounds': 28, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.945129632949829, 'proportion_of_honest': 0.5700000000000003, 'rounds': 29, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.945129632949829, 'proportion_of_honest': 0.6400000000000003, 'rounds': 30, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.308750033378601, 'proportion_of_honest': 0.7000000000000004, 'rounds': 31, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.1245787143707275, 'proportion_of_honest': 0.7200000000000004, 'rounds': 32, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.1245787143707275, 'proportion_of_honest': 0.7300000000000004, 'rounds': 33, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.1245787143707275, 'proportion_of_honest': 0.6800000000000004, 'rounds': 34, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 7.1245787143707275, 'proportion_of_honest': 0.5800000000000003, 'rounds': 35, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 6.1245787143707275, 'proportion_of_honest': 0.5200000000000002, 'rounds': 36, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 5.1245787143707275, 'proportion_of_honest': 0.5200000000000002, 'rounds': 37, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.570667862892151, 'proportion_of_honest': 0.5500000000000003, 'rounds': 38, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.9041011929512024, 'proportion_of_honest': 0.5700000000000003, 'rounds': 39, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 2.9041011929512024, 'proportion_of_honest': 0.5700000000000003, 'rounds': 40, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 3.683138072490692, 'proportion_of_honest': 0.6000000000000003, 'rounds': 41, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.015219867229462, 'proportion_of_honest': 0.6000000000000003, 'rounds': 42, 'initial_honest_proportion': 0.46000000000000024}
{'alpha': 4.609079957008362, 'proportion_of_honest': 0.5800000000000003, 'rounds': 43, 'initial_honest_proportion': 0.46000000000000024}
