honest_proportion,round,total_honest_effective_balance,alpha,sum_balance_honest,sum_balance_all
0.7200000000000004,51,2422,-51.0,5503.857872464186,7616.0742730959055
0.7600000000000005,52,2613,-52.0,5885.589231960917,7686.459300952992
0.8200000000000005,53,2584,-53.0,6386.407399438575,7768.081716227575
0.8100000000000005,54,2648,-54.0,6382.731331165207,7847.384529666671
0.8300000000000005,55,2616,-55.0,6592.032453901852,7930.257606386803
0.8200000000000005,56,2677,-56.0,6589.880702194634,8010.708809007764
0.8400000000000005,57,2777,-57.0,6809.191383906717,8094.301666433765
0.8700000000000006,58,2677,-58.0,7131.802478005201,8184.043530263708
0.8400000000000005,59,2677,-59.0,6932.591628243624,8267.107384297433
0.8400000000000005,60,2614,-60.0,7045.314639944296,8349.72633159169
0.8200000000000005,61,2649,-61.0,6926.618391578015,8428.070091768659
0.8300000000000005,62,2425,-62.0,7056.894079665544,8508.067799541099
0.7600000000000005,63,2422,-63.0,6541.946589399432,8574.744503169642
0.7600000000000005,64,2585,-64.0,6573.713714077534,8641.101960540507
0.8100000000000005,65,2519,-65.0,7064.9273928366765,8716.346566020706
0.7900000000000005,66,2520,-66.0,6968.576435770631,8787.506654061224
0.7900000000000005,67,2457,-67.0,6995.967136327956,8858.40647637349
0.7700000000000005,68,2390,-68.0,6876.4966825631045,8925.232957082295
0.7500000000000004,69,2390,-69.0,6737.110586983603,8988.538440604501
0.7500000000000004,70,2357,-70.0,6787.999953834904,9051.620602755032
0.7400000000000004,71,2299,-71.0,6741.463609167912,9112.800492155791
0.7200000000000004,72,2389,-72.0,6610.8054817739885,9170.628616882268
0.7500000000000004,73,2453,-73.0,6941.333695085731,9233.054933230927
0.7700000000000005,74,2294,-74.0,7193.9884422063815,9298.37133449135
0.7200000000000004,75,2291,-75.0,6741.995490414092,9355.254567745085
0.7200000000000004,76,2132,-76.0,6804.178588606451,9412.127439175405
0.6700000000000004,77,2327,-77.0,6339.621399313828,9461.184699200385
0.7300000000000004,78,2292,-78.0,6957.399174568575,9519.165435143434
0.7200000000000004,79,2355,-79.0,6919.54603959067,9575.571438519957
0.7400000000000004,80,2259,-80.0,7150.416974162497,9634.981192556881
0.7100000000000004,81,2545,-81.0,6871.982961453148,9689.462865133897
0.8000000000000005,82,2577,-82.0,7795.306205556258,9758.522602170513
0.8100000000000005,83,2547,-83.0,7984.480528573527,9829.08328635082
0.8000000000000005,84,2770,-84.0,7919.6229268613115,9897.751643981795
0.8700000000000006,85,2965,-85.0,8724.607036652938,9978.700275519443
0.9300000000000006,86,3025,-86.0,9391.478057418179,10071.006970781033
0.9500000000000006,87,3024,-87.0,9650.041214417057,10166.78259791423
0.9500000000000006,88,3120,-88.0,9746.81159944392,10262.074234574473
0.9800000000000006,89,3055,-89.0,10160.15231011779,10362.703742532025
0.9600000000000006,90,3087,-90.0,10048.18303971721,10459.07047948161
0.9700000000000006,91,3089,-91.0,10254.954510893016,10557.015778373514
0.9700000000000006,92,3088,-92.0,10326.39396324188,10654.569387030011
0.9700000000000006,93,3119,-93.0,10429.682758034694,10751.64365064493
0.9800000000000006,94,2991,-94.0,10636.215921235624,10850.263762499746
0.9400000000000006,95,2991,-95.0,10282.966388269035,10940.529241910339
0.9400000000000006,96,2897,-96.0,10380.036187755317,11030.421579749129
0.9100000000000006,97,2870,-97.0,10126.042463495192,11114.340865160553
0.9000000000000006,98,2895,-98.0,10076.88910530409,11196.00707114357
0.9100000000000006,99,2831,-99.0,10284.120461495966,11279.24542322626
0.8900000000000006,100,2928,-100.0,10122.790549431924,11358.543309825847
0.9200000000000006,101,2866,-101.0,10530.429280189546,11443.053523542367
0.9000000000000006,102,2863,-102.0,10375.763169212993,11523.660207008197
0.9000000000000006,103,2989,-103.0,10455.714945947055,11603.597770033462
0.9400000000000006,104,2958,-104.0,10983.763751177228,11690.825051458089
0.9300000000000006,105,2958,-105.0,10952.506027579444,11775.901929844911
0.9300000000000006,106,2927,-106.0,11040.357935046613,11860.695564445632
0.9200000000000006,107,2866,-107.0,11003.244374639191,11943.393231622997
0.9000000000000006,108,2831,-108.0,10826.273495945137,12022.293440241063
0.8900000000000006,109,2926,-109.0,10770.072059084472,12099.101708615908
0.9200000000000006,110,2831,-110.0,11213.742313051045,12180.928291486925
0.8900000000000006,111,2829,-111.0,10934.300287411923,12257.304327376793
0.8900000000000006,112,2767,-112.0,10969.189761472437,12333.341554186552
0.8700000000000006,113,2863,-113.0,10799.343186772381,12405.77883150474
0.9000000000000006,114,2735,-114.0,11243.839522402246,12483.112888139944
0.8600000000000005,115,2638,-115.0,10795.867663350302,12553.477527457295
0.8300000000000005,116,2669,-116.0,10482.851862127432,12618.48384510588
0.8400000000000005,117,2798,-117.0,10647.889248277159,12685.155259590425
